,State,County,Cases,Death,Date
1053,Massachusetts,Barnstable,1038.0,61.0,2020-05-09
1054,Massachusetts,Berkshire,472.0,37.0,2020-05-09
1055,Massachusetts,Bristol,4670.0,252.0,2020-05-09
1056,Massachusetts,Dukes,22.0,,2020-05-09
1057,Massachusetts,Essex,10995.0,601.0,2020-05-09
1058,Massachusetts,Franklin,289.0,41.0,2020-05-09
1059,Massachusetts,Hampden,4522.0,441.0,2020-05-09
1060,Massachusetts,Hampshire,654.0,48.0,2020-05-09
1061,Massachusetts,Middlesex,17014.0,1132.0,2020-05-09
1062,Massachusetts,Nantucket,11.0,,2020-05-09
1063,Massachusetts,Norfolk,6801.0,623.0,2020-05-09
1064,Massachusetts,Plymouth,6194.0,375.0,2020-05-09
1065,Massachusetts,Suffolk,14944.0,683.0,2020-05-09
1066,Massachusetts,Worcester,7410.0,404.0,2020-05-09
1067,Massachusetts,Unknown,297.0,3.0,2020-05-09
1068,Massachusetts,Dukes and Nantucket,,1.0,2020-05-09
