,State,County,Deaths,Date
0,Missouri,Bates,1,2020-05-09
1,Missouri,Boone,1,2020-05-09
2,Missouri,Buchanan,2,2020-05-09
3,Missouri,Callaway,1,2020-05-09
4,Missouri,Camden,1,2020-05-09
5,Missouri,Cape Girardeau,1,2020-05-09
6,Missouri,Carter,1,2020-05-09
7,Missouri,Cass,7,2020-05-09
8,Missouri,Clay,1,2020-05-09
9,Missouri,Cole,1,2020-05-09
10,Missouri,Dunklin,2,2020-05-09
11,Missouri,Franklin,13,2020-05-09
12,Missouri,Greene,7,2020-05-09
13,Missouri,Henry,1,2020-05-09
14,Missouri,Jackson,14,2020-05-09
15,Missouri,Jefferson,10,2020-05-09
16,Missouri,Kansas City,16,2020-05-09
17,Missouri,Lafayette,1,2020-05-09
18,Missouri,Lewis,1,2020-05-09
19,Missouri,Lincoln,1,2020-05-09
20,Missouri,Linn,1,2020-05-09
21,Missouri,Newton,1,2020-05-09
22,Missouri,Pemiscot,3,2020-05-09
23,Missouri,Pulaski,1,2020-05-09
24,Missouri,Scott,5,2020-05-09
25,Missouri,St. Charles,33,2020-05-09
26,Missouri,St. Francois,1,2020-05-09
27,Missouri,St. Louis City,71,2020-05-09
28,Missouri,St. Louis County,246,2020-05-09
29,Missouri,Ste. Genevieve,1,2020-05-09
30,Missouri,Taney,2,2020-05-09
31,Missouri,Washington,1,2020-05-09
32,Missouri,TBD,0,2020-05-09
